x,y,spatial_cluster
456.0700988769531,14.083569526672363,2
516.2630615234375,23.9012451171875,2
547.8517456054688,6.898230075836182,2
574.9497680664062,14.296744346618652,2
611.6936645507812,23.41239547729492,2
625.9235229492188,17.004024505615234,2
647.9655151367188,9.581280708312988,2
691.976806640625,12.61794376373291,2
777.7484130859375,6.908524036407471,2
815.6849975585938,18.13761520385742,2
832.296630859375,10.147347450256348,2
853.4041137695312,6.660958766937256,2
864.6411743164062,17.230865478515625,2
889.7055053710938,15.755905151367188,2
911.6145629882812,7.253369331359862,2
933.2440185546876,14.239831924438477,2
965.540771484375,27.261384963989254,2
1014.7589721679688,11.611538887023924,2
1048.9681396484375,10.201136589050291,2
1091.81787109375,14.89456844329834,2
1109.746826171875,8.806866645812988,2
1160.1947021484375,12.470881462097168,2
1180.788330078125,8.440605163574219,2
1210.807861328125,9.596797943115234,2
1246.34521484375,12.956480026245115,2
1272.7034912109375,9.293103218078612,2
1300.1510009765625,15.03286361694336,2
1338.47509765625,14.523255348205566,2
1353.9024658203125,33.85624694824219,2
1425.9490966796875,14.17322826385498,2
1487.5548095703125,15.113033294677734,2
1542.7969970703125,15.384886741638184,2
1636.8995361328125,12.644225120544432,2
1769.1461181640625,9.619866371154783,2
1893.6114501953125,17.211374282836914,2
1943.581298828125,13.120622634887695,2
2001.21630859375,12.663636207580566,2
2026.5,10.607594490051268,2
2058.29931640625,26.270906448364254,2
2121.65771484375,10.145995140075684,2
2163.79541015625,11.133708000183104,2
2194.67529296875,12.2703800201416,2
2239.534912109375,30.990190505981445,2
2299.14599609375,21.83481788635254,2
2397.975830078125,9.151302337646484,2
2475.207275390625,21.658773422241207,2
2560.786376953125,14.308900833129885,2
2643.530029296875,26.37607192993164,2
2679.80029296875,12.948536872863768,2
2725.171142578125,12.504775047302246,2
2774.497314453125,10.792165756225584,2
2815.048828125,27.23814392089844,2
2859.7109375,15.676579475402832,2
2890.76611328125,5.990740776062012,2
2934.54931640625,25.854633331298828,2
2987.310546875,12.176546096801756,2
3015.84814453125,23.506420135498047,2
3070.416259765625,27.182592391967773,2
3132.73193359375,29.047618865966797,2
3209.382568359375,11.932476043701172,2
3247.40966796875,15.150728225708008,2
3374.845947265625,33.85356903076172,4
3463.957275390625,14.385693550109863,4
3545.676025390625,9.53274154663086,4
3630.97216796875,11.995930671691896,4
3759.36572265625,11.336677551269531,4
3794.319091796875,15.891161918640137,2
3873.9873046875,16.367996215820312,2
3915.20166015625,14.63456344604492,4
3956.05712890625,25.765670776367188,4
4001.32470703125,19.12773704528808,4
4076.11669921875,25.352989196777344,4
4129.77197265625,17.488706588745117,4
4231.826171875,25.753171920776367,1
4309.244140625,24.13399124145508,4
4416.220703125,28.559011459350582,1
4485.31787109375,18.57474899291992,1
4668.95166015625,27.958105087280273,5
4831.97412109375,10.781422615051268,5
4988.79931640625,20.69362449645996,4
5145.72705078125,34.236473083496094,4
5185.76513671875,12.74209213256836,1
5207.67236328125,11.89548683166504,1
5231.65625,15.791629791259764,1
5259.83447265625,20.89506149291992,1
5283.77734375,12.137614250183104,4
5380.556640625,30.524023056030273,4
5453.66796875,12.122689247131348,4
5605.14306640625,15.442105293273924,2
5655.78125,15.450690269470217,2
5754.76611328125,9.759368896484377,2
5912.86767578125,27.927894592285156,4
5958.4716796875,21.778217315673828,4
6017.908203125,11.281338691711424,4
6092.5087890625,10.190664291381836,4
6174.6376953125,21.24633026123047,4
6234.43505859375,18.41144371032715,4
6365.57275390625,19.27691650390625,4
6421.146484375,29.917163848876953,4
6500.20849609375,16.76337432861328,1
6555.19140625,15.437847137451172,4
6638.07958984375,36.650588989257805,4
6706.2333984375,11.51886749267578,4
6778.4560546875,13.40781593322754,1
6812.26025390625,14.523510932922363,1
6845.5966796875,11.8128080368042,4
6979.9521484375,16.390775680541992,2
7036.5439453125,8.021546363830566,4
7100.11572265625,18.993076324462887,4
7165.38134765625,18.82145309448242,4
7201.0556640625,29.181610107421875,4
7310.6962890625,31.9042911529541,4
7334.615234375,12.164642333984377,4
7361.775390625,34.294010162353516,4
7406.5947265625,24.72332763671875,4
7439.71435546875,7.700348377227782,2
7477.38818359375,17.2993106842041,2
7517.53662109375,5.0380048751831055,2
7553.68017578125,6.254504680633545,2
7581.9755859375,13.308203697204588,4
7632.4111328125,6.922094345092773,4
7725.5341796875,11.682119369506836,2
7800.07373046875,12.081405639648436,2
7861.0517578125,26.82329368591308,2
7909.43798828125,18.533082962036133,2
7953.283203125,19.327795028686523,2
7993.2451171875,13.510860443115234,2
8033.2177734375,28.844488143920895,2
8126.4423828125,8.538089752197266,4
8176.31787109375,27.434099197387695,4
8195.1474609375,6.586378574371338,4
8237.9423828125,9.773084640502928,4
8518.2958984375,21.51046371459961,2
8601.4091796875,26.006805419921875,1
8627.130859375,4.427586078643799,1
8661.83203125,9.658682823181152,1
8683.4970703125,9.864779472351074,1
8708.3681640625,17.29523277282715,2
8832.298828125,15.216986656188965,2
8891.1357421875,9.261691093444824,2
8945.6767578125,17.53213119506836,1
9001.2138671875,11.306103706359863,1
9040.236328125,11.704288482666016,1
9098.41015625,12.132189750671388,1
9143.134765625,8.799640655517578,1
9439.904296875,8.937453269958496,1
9485.544921875,10.758160591125488,1
9531.3095703125,7.82453155517578,1
9621.03125,19.66946601867675,1
9697.7353515625,8.080329895019531,1
9811.720703125,21.517589569091797,1
9864.6328125,6.692421913146973,1
9931.4736328125,14.407770156860352,1
10069.5673828125,10.019025802612305,2
10108.4140625,26.22760200500488,1
10135.279296875,12.708333015441896,1
10177.578125,14.707959175109863,2
10252.818359375,6.730717182159424,1
